Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 15:45,Open,550 SOUTH LIMESTONE ST,20151857,"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",Theft,Open,550 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",558 EAST HIGH ST  ,Lexington,Kentucky,United States of America,Theft,8/20/2015 18:40,Open,558 EAST HIGH ST,20151858,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,558 EAST HIGH ST
POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/22/2015 3:42,Open,1000 SOUTH LIMESTONE ST,20151861,POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M,Drug Violations,Open,1000 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),LEXINGTON AVE & AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/22/2015 8:30,Cleared By Arrest,LEXINGTON AVE & AVENUE OF CHAMPIONS,20151863,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,LEXINGTON AVE & AVENUE OF CHAMPIONS
HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,WOODLAND AVE  ,Lexington,Kentucky,United States of America,Harassment,8/21/2015 12:00,Unfounded,WOODLAND AVE,20151865,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,Harassment,Unfounded,WOODLAND AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),252 EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/23/2015 4:21,Cleared By Arrest,252 EAST MAXWELL ST,20151868,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,252 EAST MAXWELL ST
"LICENSE TO BE IN POSSESSION/M, DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, FAILURE TO PRODUCE INSURANCE CARD",SOUTH LIMESTONE ST & COLFAX ST  ,Lexington,Kentucky,United States of America,DUI,8/23/2015 7:56,Cleared By Arrest,SOUTH LIMESTONE ST & COLFAX ST,20151870,"LICENSE TO BE IN POSSESSION/M, DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, FAILURE TO PRODUCE INSURANCE CARD",DUI,Cleared By Arrest,SOUTH LIMESTONE ST & COLFAX ST
"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",HUGUELET DR & ROSE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/23/2015 20:40,Citation Issued,HUGUELET DR & ROSE ST,20151873,"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",Drug Violations,Citation Issued,HUGUELET DR & ROSE ST
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",361 HUGUELET DR  ,Lexington,Kentucky,United States of America,Drug Violations,8/23/2015 21:07,Closed Disciplinary Referral,361 HUGUELET DR,20151874,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Closed Disciplinary Referral,361 HUGUELET DR
"TBUT OR DISP CONTENTS FROM AUTO U/$500/M, CRIMINAL MISCHIEF 3RD/M",721 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,8/21/2015 7:00,Open,721 SPORTS CENTER DR,20151875,"TBUT OR DISP CONTENTS FROM AUTO U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Open,721 SPORTS CENTER DR
ALCOHOL INTOXICATION IN A PUBLIC PLACE,703 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/23/2015 1:40,Closed Disciplinary Referral,703 SPORTS CENTER DR,201524618,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,703 SPORTS CENTER DR
ALCOHOL INTOXICATION IN A PUBLIC PLACE,AVENUE OF CHAMPIONS & SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/23/2015 3:39,Closed Disciplinary Referral,AVENUE OF CHAMPIONS & SOUTH MARTIN LUTHER KING BLVD,201524636,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,AVENUE OF CHAMPIONS & SOUTH MARTIN LUTHER KING BLVD
SEXUAL ABUSE 3RD/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Sex Offenses,8/24/2015 2:30,Unfounded,1000 SOUTH LIMESTONE ST,20151885,SEXUAL ABUSE 3RD/M,Sex Offenses,Unfounded,1000 SOUTH LIMESTONE ST
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/21/2015 21:20,Closed Disciplinary Referral,326 SOUTH MARTIN LUTHER KING BLVD,CSA20150775,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Liquor Law Violation,Closed Disciplinary Referral,326 SOUTH MARTIN LUTHER KING BLVD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/20/2015 13:12,Closed CSA,1350 BULL LEA RD,CSA20150777,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ATTEMPTED SEXUAL ASSAULT,UNKNOWN - ON POSSIBLY ON CAMPUS  ,Lexington,Kentucky,United States of America,Sex Offenses,8/23/2015 7:00,Closed CSA,UNKNOWN - ON POSSIBLY ON CAMPUS,CSA20150776,ATTEMPTED SEXUAL ASSAULT,Sex Offenses,Closed CSA,UNKNOWN - ON POSSIBLY ON CAMPUS
BURGLARY 3RD DEGREE/F,120 PATTERSON DR  ,Lexington,Kentucky,United States of America,Burglary,8/21/2015 20:30,Open,120 PATTERSON DR,20151877,BURGLARY 3RD DEGREE/F,Burglary,Open,120 PATTERSON DR
FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,1608 UNIVERSITY CT  ,Lexington,Kentucky,United States of America,All Other Offenses,7/20/2015 4:01,Closed,1608 UNIVERSITY CT,20151878,FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,All Other Offenses,Closed,1608 UNIVERSITY CT
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,8/23/2015 13:00,Closed,110 TRANSCRIPT AVE,20151879,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed,110 TRANSCRIPT AVE
CRIMINAL MISCHIEF 3RD/M,JERSEY ST  ,Lexington,Kentucky,United States of America,Criminal Mischief,8/24/2015 17:00,Closed,JERSEY ST,20151880,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,JERSEY ST
TBUT OR DISP BICYCLES U/$500/M,PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,8/24/2015 16:15,Closed,PATTERSON DR,20151881,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,PATTERSON DR
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/25/2015 3:00,Cleared By Arrest,310 SOUTH LIMESTONE ST,20151883,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
"DRUG PARAPHERNALIA - BUY/POSSESS/M x4, POSS OF MARIJUANA/M",326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Drug Violations,8/25/2015 4:16,Closed Disciplinary Referral,326 SOUTH MARTIN LUTHER KING BLVD,20151884,"DRUG PARAPHERNALIA - BUY/POSSESS/M x4, POSS OF MARIJUANA/M",Drug Violations,Closed Disciplinary Referral,326 SOUTH MARTIN LUTHER KING BLVD
ALCOHOL INTOXICATION IN A PUBLIC PLACE,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/25/2015 3:58,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD,201524913,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,8/22/2015 4:15,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015143061,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"TBUT OR DISP AUTO $500 OR MORE BUT U/$10,000/F",206 EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Motor Vehicle Theft,8/20/2015 21:00,Closed Lexington Police Report,206 EAST MAXWELL ST,2015143164,"TBUT OR DISP AUTO $500 OR MORE BUT U/$10,000/F",Motor Vehicle Theft,Closed Lexington Police Report,206 EAST MAXWELL ST
"FAILURE TO ILLUMINATE HEAD LAMPS, NO REGISTRATION PLATES, DUI ALC/DRUGS/ETC 1ST W/AGG CIRCUMSTANCES",SOUTH LIMESTONE ST & WALLER AVE  ,Lexington,Kentucky,United States of America,DUI,8/20/2015 5:10,Closed Lexington Police Report,SOUTH LIMESTONE ST & WALLER AVE,2015141606,"FAILURE TO ILLUMINATE HEAD LAMPS, NO REGISTRATION PLATES, DUI ALC/DRUGS/ETC 1ST W/AGG CIRCUMSTANCES",DUI,Closed Lexington Police Report,SOUTH LIMESTONE ST & WALLER AVE
DRINKING ALCOHOL IN PUBLIC PLACE 3RD OR > OFFENSE,WEST MAXWELL ST & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/19/2015 16:30,Closed Lexington Police Report,WEST MAXWELL ST & SOUTH LIMESTONE ST,2015141143,DRINKING ALCOHOL IN PUBLIC PLACE 3RD OR > OFFENSE,Alcohol Intoxication,Closed Lexington Police Report,WEST MAXWELL ST & SOUTH LIMESTONE ST
"FAILURE TO WEAR SEAT BELTS, OPEN ALCOHOL BEV CONTAINER IN AUTO, DUI ALC/DRUGS/ETC 2ND OFFENSE",SOUTH MARTIN LUTHER KING BLVD & EAST HIGH ST  ,Lexington,Kentucky,United States of America,DUI,8/23/2015 3:56,Closed Lexington Police Report,SOUTH MARTIN LUTHER KING BLVD & EAST HIGH ST,2015143020,"FAILURE TO WEAR SEAT BELTS, OPEN ALCOHOL BEV CONTAINER IN AUTO, DUI ALC/DRUGS/ETC 2ND OFFENSE",DUI,Closed Lexington Police Report,SOUTH MARTIN LUTHER KING BLVD & EAST HIGH ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),EAST MAXWELL ST & ROSE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/23/2015 4:10,Closed Lexington Police Report,EAST MAXWELL ST & ROSE ST,2015143578,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,EAST MAXWELL ST & ROSE ST
"DISORDERLY CONDUCT 1ST DEGREE X2, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) X2, RESISTING ARREST",PINE ST & JERSEY ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/21/2015 5:15,Closed Lexington Police Report,PINE ST & JERSEY ST,2015142373,"DISORDERLY CONDUCT 1ST DEGREE X2, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) X2, RESISTING ARREST",Alcohol Intoxication,Closed Lexington Police Report,PINE ST & JERSEY ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),JERSEY ST & PINE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/21/2015 4:21,Closed Lexington Police Report,JERSEY ST & PINE ST,2015142354,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,JERSEY ST & PINE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),PINE ST & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/22/2015 2:40,Closed Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,2015142970,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,PINE ST & SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),SOUTH LIMESTONE ST & PINE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/21/2015 2:30,Closed Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,2015142275,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,SOUTH LIMESTONE ST & PINE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),SOUTH LIMESTONE ST & EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/21/2015 3:30,Closed Lexington Police Report,SOUTH LIMESTONE ST & EAST MAXWELL ST,2015142312,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,SOUTH LIMESTONE ST & EAST MAXWELL ST
"DISORDERLY CONDUCT 1ST DEGREE, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), TERRORISTIC THREATENING 3RD DEGREE",WEST MAXWELL ST & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/21/2015 2:46,Closed Lexington Police Report,WEST MAXWELL ST & SOUTH LIMESTONE ST,2015142287,"DISORDERLY CONDUCT 1ST DEGREE, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), TERRORISTIC THREATENING 3RD DEGREE",Terroristic Threatening,Closed Lexington Police Report,WEST MAXWELL ST & SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),EAST MAXWELL ST & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/21/2015 2:40,Closed Lexington Police Report,EAST MAXWELL ST & SOUTH LIMESTONE ST,2015142283,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,EAST MAXWELL ST & SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),EAST MAXWELL ST & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/21/2015 2:45,Closed Lexington Police Report,EAST MAXWELL ST & SOUTH LIMESTONE ST,2015142289,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,EAST MAXWELL ST & SOUTH LIMESTONE ST
INDECENT EXPOSURE,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,All Other Offenses,8/22/2015 5:00,Closed CSA,430 COMPLEX DR,CSA20150778,INDECENT EXPOSURE,All Other Offenses,Closed CSA,430 COMPLEX DR
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/21/2015 18:00,Closed CSA,1350 BULL LEA RD,CSA20150779,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/21/2015 20:15,Closed CSA,1350 BULL LEA RD,CSA20150780,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/23/2015 2:56,Closed CSA,1350 BULL LEA RD,CSA20150781,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/23/2015 9:19,Closed CSA,1350 BULL LEA RD,CSA20150782,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/23/2015 10:20,Unfounded,1350 BULL LEA RD,CSA20150783,ASSAULT,Assault,Unfounded,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/21/2015 21:00,Unfounded,1350 BULL LEA RD,CSA20150784,ASSAULT,Assault,Unfounded,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,8/23/2015 21:00,Closed CSA,1350 BULL LEA RD,CSA20150785,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/23/2015 22:21,Closed CSA,1350 BULL LEA RD,CSA20150786,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/23/2015 22:50,Closed CSA,1350 BULL LEA RD,CSA20150787,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/24/2015 12:29,Closed CSA,1350 BULL LEA RD,CSA20150788,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/24/2015 15:55,Closed CSA,1350 BULL LEA RD,CSA20150789,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,8/25/2015 6:30,Closed CSA,1350 BULL LEA RD,CSA20150791,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,8/25/2015 10:40,Closed CSA,1350 BULL LEA RD,CSA20150792,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/25/2015 22:00,Cleared By Arrest,440 HILLTOP AVE,20151890,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,440 HILLTOP AVE
"DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT, FAILURE TO PRODUCE INSURANCE CARD, POSS OF MARIJUANA/M",SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Drug Violations,8/26/2015 1:40,Citation Issued,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS,20151891,"DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT, FAILURE TO PRODUCE INSURANCE CARD, POSS OF MARIJUANA/M",Drug Violations,Citation Issued,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS
TBUT OR DISP SHOPLIFTING U/$500/M,819 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/26/2015 3:08,Citation Issued,819 SOUTH LIMESTONE ST,20151892,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Citation Issued,819 SOUTH LIMESTONE ST
RAPE,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Sex Offenses,8/25/2015 4:00,Unfounded,1350 BULL LEA RD,CSA20150793,RAPE,Sex Offenses,Unfounded,1350 BULL LEA RD
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X9,340 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/25/2015 2:00,Closed Disciplinary Referral,340 HILLTOP AVE,CSA20150794,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X9,Liquor Law Violation,Closed Disciplinary Referral,340 HILLTOP AVE
"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3, MINOR IN POSSESSION OF ALCOHOL",752 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/23/2015 2:45,Closed Disciplinary Referral,752 WOODLAND AVE,CSA20150795,"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3, MINOR IN POSSESSION OF ALCOHOL",Liquor Law Violation,Closed Disciplinary Referral,752 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/23/2015 5:21,Closed Disciplinary Referral,720 WOODLAND AVE,CSA20150796,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,Liquor Law Violation,Closed Disciplinary Referral,720 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,703 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/24/2015 2:29,Closed Disciplinary Referral,703 SPORTS CENTER DR,CSA20150797,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Liquor Law Violation,Closed Disciplinary Referral,703 SPORTS CENTER DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/25/2015 2:00,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD,CSA20150798,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X7,Liquor Law Violation,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X12,361 HUGUELET DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/25/2015 1:30,Closed Disciplinary Referral,361 HUGUELET DR,CSA20150799,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X12,Liquor Law Violation,Closed Disciplinary Referral,361 HUGUELET DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/25/2015 4:30,Closed Disciplinary Referral,720 WOODLAND AVE,CSA20150800,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Liquor Law Violation,Closed Disciplinary Referral,720 WOODLAND AVE
TERRORISTIC THREATENING 3RD DEGREE/M,115 HUGUELET DR  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/26/2015 14:08,Closed,115 Huguelet Dr,20151896,TERRORISTIC THREATENING 3RD DEGREE/M,Terroristic Threatening,Closed,115 HUGUELET DR
HARASSING COMMUNICATIONS/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Harassing Communications,8/26/2015 18:52,Closed,800 ROSE ST,20151899,HARASSING COMMUNICATIONS/M,Harassing Communications,Closed,800 ROSE ST
"ASSIST LPD REFERENCE TRAFFICKING IN A CONTROLLED SUBSTANCE 1ST WITH A FIREARM, WANTON ENDANGERMENT 1ST",819 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/27/2015 5:16,Closed Lexington Police Report,819 SOUTH LIMESTONE ST,201514690,"ASSIST LPD REFERENCE TRAFFICKING IN A CONTROLLED SUBSTANCE 1ST WITH A FIREARM, WANTON ENDANGERMENT 1ST",Drug Violations,Closed Lexington Police Report,819 SOUTH LIMESTONE ST
"CRIMINAL MISCHIEF 2ND/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",2195 HARRODSBURG RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,8/26/2015 11:45,Closed,2195 HARRODSBURG RD,20151901,"CRIMINAL MISCHIEF 2ND/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Criminal Mischief,Closed,2195 HARRODSBURG RD
ASSAULT 4TH DEGREE (CHILD ABUSE)/M,500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Assault,8/26/2015 21:45,Cleared By Arrest,500 ALUMNI DR,20151902,ASSAULT 4TH DEGREE (CHILD ABUSE)/M,Assault,Cleared By Arrest,500 ALUMNI DR
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/26/2015 14:45,Closed CSA,1350 BULL LEA RD,CSA20150801,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
MENACING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,All Other Offenses,8/26/2015 18:56,Closed CSA,1350 BULL LEA RD,CSA20150802,MENACING,All Other Offenses,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/26/2015 19:40,Closed CSA,1350 BULL LEA RD,CSA20150803,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/26/2015 22:30,Closed CSA,1350 BULL LEA RD,CSA20150804,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/26/2015 23:00,Closed CSA,1350 BULL LEA RD,CSA20150805,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/27/2015 3:22,Closed CSA,1350 BULL LEA RD,CSA20150806,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/27/2015 2:23,Closed CSA,1350 BULL LEA RD,CSA20150807,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
