Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Drug Violations,20152597,11/04/2015 - 4:33am,11/4/2015,465 ROSE ST,"POSS OF MARIJUANA/;M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,,,,,,,,,,,,,
Theft,20152600,11/04/2015 - 3:30pm,11/4/2015,800 ROSE ST,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20152601,11/01/2015 - 2:30pm,11/4/2015,440 HILLTOP AVE,CRIMINAL MISCHIEF 3RD DEGREE/M,No,Open,,,,,,,,,,,,,,
Assault,20152602,11/04/2015 - 1:53pm,11/4/2015,310 SOUTH LIMESTONE,"ASSAULT, 4TH DEGREE (MINOR INJURY)/M",No,Open,,,,,,,,,,,,,
Drug Violations,20152604,11/04/2015 - 4:49pm,11/4/2015,JERSEY ST,"POSS OF MARIJUANA/M, TRAFF IN CONT SUB, 1ST DEGREE, 1ST OFFENSE - (> OR = 4 GMS COCAINE)/F",No,Cleared By Arrest,,,,,,,,,,,
Liquor Law Violation,CSA20151137,11/04/2015 - 10:30pm,11/4/2015,701 SPORTS CENTER DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151136,11/04/2015 - 12:11pm,11/4/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20152582,11/03/2015 - 2:34am,11/3/2015,740 SOUTH LIMESTONE,ALCOHOL INTOX IN A PUBLC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20152587,11/03/2015 - 3:30pm,11/3/2015,310 SOUTH LIMESTONE,"ASSAULT, 4TH DEGREE (MINOR INJURY)/M",No,Open,,,,,,,,,,,,,
Theft,20152588,11/03/2015 - 5:54pm,11/3/2015,COOPER DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152592,11/03/2015 - 8:51pm,11/3/2015,310 SOUTH LIMESTONE,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20152586,11/03/2015 - 1:00pm,11/3/2015,411 SOUTH LIMESTONE,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Assault,CSA20151131,11/03/2015 - 2:15pm,11/3/2015,310 SOUTH LIMESTONE,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151133,11/03/2015 - 5:35pm,11/3/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151134,11/03/2015 - 1:20pm,11/3/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151135,11/03/2015 - 11:19am,11/3/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Drug Violations,20152573,11/02/2015 - 12:35am,11/2/2015,685 SPORTS CENTER DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,
Sex Offenses,CSA20151122,11/02/2015 - 11:45am,11/2/2015,1350 BULL LEA RD,SEXUAL ABUSE,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151123,11/02/2015 - 11:46am,11/2/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20152575,09/02/2015 - 2:01am,11/2/2015,800 ROSE ST,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",No,Open,,,,,,,,,,,,,
Drug Violations,20152576,11/02/2015 - 10:40am,11/2/2015,752 WOODLAND AVE,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Open,,,,,,,,,,,,,,
Criminal Trespass,20152577,11/02/2015 - 4:34pm,11/2/2015,ADMINISTRATION DR,CRIMINAL TRESPASSING- 3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20152578,11/02/2015 - 7:30am,11/2/2015,1350 BULL LEA RD,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)/M",No,Closed,,,,,,,,,,,,,
Theft,20152579,11/02/2015 - 3:00pm,11/2/2015,AVENUE OF CHAMPIONS,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20152560,11/01/2015 - 12:09am,11/1/2015,327 COLUMBIA AVE,CRIMINAL MISCHIEF 3RD DEGREE/M,Yes,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152564,11/01/2015 - 2:09am,11/1/2015,PINE ST,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), GIVING OFFICER FALSE NAME OR ADDRESS/M, DISORDERLY CONDUCT, 2ND DEGREE/M",No,Cleared By Arrest,,,,,,,,,,,
Criminal Trespass,20152565,11/01/2015 - 2:25am,11/1/2015,310 SOUTH LIMESTONE ST,"CRIMINAL TRESPASSING-3RD DEGREE, DISORDERLY CONDUCT, 2ND DEGREE/M",No,Cleared By Arrest,,,,,,,,,,,,
Alcohol Intoxication,201531745,11/01/2015 - 2:13am,11/1/2015,720 WOODLAND AVE,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
DUI,20152566,11/01/2015 - 2:30pm,11/1/2015,SOUTH LIMESTONE ST,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20152570,11/01/2015 - 3:30pm,11/1/2015,301 HILLTOP AVENUE,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",No,Closed,,,,,,,,,,,,,
Drug Violations,20152571,11/01/2015 - 11:06pm,11/1/2015,740 SOUTH LIMESTONE ST,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Open,,,,,,,,,,,,,
Alcohol Intoxication,20152567,11/01/2015 - 8:44pm,11/1/2015,310 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Sex Offenses,20152569,11/01/2015 - 1:47am,11/1/2015,693 SPORTS CENTER DR,SEXUAL MISCONDUCT,Yes,Open,,,,,,,,,,,,,,
Assault,CSA20151116,11/01/2015 - 1:40pm,11/1/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151117,11/01/2015 - 1:43pm,11/1/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151118,11/01/2015 - 3:26pm,11/1/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151119,11/01/2015 - 9:06am,11/1/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151120,11/01/2015 - 10:03am,11/1/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151121,11/01/2015 - 8:49pm,11/1/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151132,11/01/2015 - 11:20pm,11/1/2015,410 ROSE LN,ASSAULT,Yes,,,,,,,,,,,,,,,
Theft,20152574,11/01/2015 - 11:30pm,11/1/2015,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Drug Violations,20152545,10/31/2015 - 12:10am,10/31/2015,344 SOUTH MARTIN LUTHER KING BLVD,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed,,,,,,,,,,,,,
Alcohol Intoxication,20152546,10/31/2015 - 12:46am,10/31/2015,EAST MAXWELL ST,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE)/M, CRIMINAL MISCHIEF 3RD DEGREE, DISPLAY OF POSS OF CANCELLED OR FITITIOUS OPER LI/M",No,Cleared By Arrest,,,,,,,,,,,,
Theft,20152550,10/31/2015 - 2:30pm,10/31/2015,800 ROSE ST,TBUT OR DISP ALL OTHERS U/$500; FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152551,10/31/2015 - 6:11pm,10/31/2015,310 SOUTH LIMESTONE ST,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE ), DISORDERLY CONDUCT, 2ND DEGREE/M, CRIMINAL TRESPASSING-3RD DEGREE",No,Cleared By Arrest,,,,,,,,,,,
Alcohol Intoxication,20152553,10/31/2015 - 7:50pm,10/31/2015,1540 UNIVERSITY DR,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)/M",No,Cleared By Arrest,,,,,,,,,,,,
Alcohol Intoxication,20152554,10/31/2015 - 7:52pm,10/31/2015,1540 UNIVERSITY DR,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)/M",No,Cleared By Arrest,,,,,,,,,,,
Alcohol Intoxication,20152555,10/31/2015 - 8:50pm,10/31/2015,550 WILDCAT CT,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT)/M",No,Open,,,,,,,,,,,
Theft,20152556,10/31/2015 - 7:45pm,10/31/2015,1540 UNIVERSITY DR,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Alcohol Intoxication,20152557,10/31/2015 - 9:00pm,10/31/2015,1540 UNIVERSITY DR,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Trespass,20152558,10/31/2015 - 9:13pm,10/31/2015,310 SOUTH LIMESTONE ST,"CRIMINAL TRESPASSING- 3RD DEGREE, RESISTING ARREST/M, DISORDERLY CONDUCT, 2ND DEGREE/M",No,Cleared By Arrest,,,,,,,,,,,
Alcohol Intoxication,20152559,10/31/2015 - 10:00pm,10/31/2015,1540 UNIVERSITY DR,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,20152562,10/31/2015 - 11:40pm,10/31/2015,800 ROSE ST,HARASSMENT- PHYSICAL CONTACT - NO INJURY/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Criminal Mischief,20152548,10/31/2015 - 11:30am,10/31/2015,310 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 3RD DEGREE/M,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151110,10/31/2015 - 5:52am,10/31/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151111,10/31/2015 - 2:49pm,10/31/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151112,10/31/2015 - 2:54pm,10/31/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151113,10/31/2015 - 4:26pm,10/31/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151114,10/31/2015 - 7:43pm,10/31/2015,1350 BULL LEAD RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151115,10/31/2015 - 10:44pm,10/31/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151124,10/31/2015 - 12:40am,10/31/2015,344 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151125,10/31/2015 - 10:35pm,10/31/2015,326 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151126,10/31/2015 - 10:20pm,10/31/2015,326 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151127,10/31/2015 - 9:01pm,10/31/2015,326 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20152531,10/30/2015 - 12:01am,10/30/2015,310 SOUTH LIMESTONE ST,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), CRIMINAL TRESPASSING-3RD DEGREE",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20152532,10/29/2015 - 10:30pm,10/30/2015,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
DUI,20152533,10/30/2015 - 2:41am,10/30/2015,JERSEY ST,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, RECKLESS DRIVING",No,Cleared By Arrest,,,,,,,,,,,,,
Liquor Law Violation,CSA20151104,10/30/2015 - 12:37am,10/30/2015,326 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,2015185471,10/28/2015 - 5:32pm,10/30/2015,217 Elm Tree Ln,"DRUG PARAPHERNALIA-BUY/POSSESS/M, POSS CONT SUB-3RD DEGREE DRUG UNSPECIF/M",No,Closed - Lexington Police Report,,,,,,,,,,,,,
Alcohol Intoxication,20152535,10/30/2015 - 10:45am,10/30/2015,310 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20152537,10/30/2015 - 11:45am,10/30/2015,505 ROSE ST,"ASSAULT, 4TH DEGREE (MINOR INJURY)/M",No,Open,,,,,,,,,,,,,
Drug Violations,20152542,10/30/2015 - 5:55pm,10/30/2015,326 SOUTH MARTIN LUTHER KING BLVD,"POSS OF MARIJUANA/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Open,,,,,,,,,,,,
Drug Violations,20152543,10/30/2015 - 8:00pm,10/30/2015,344 SOUTH MARTIN LUTHER KING BLVD,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152544,10/30/2015 - 9:50pm,10/30/2015,310 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151107,10/30/2015 - 11:53am,10/30/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151108,10/30/2015 - 12:08pm,10/30/2015,1350 BULL LEAD RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151109,10/30/2015 - 9:37pm,10/30/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151129,10/30/2015 - 2:00am,10/30/2015,650 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151103,10/28/2015 - 10:00pm,10/29/2015,685 SPORTS CENTER DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x2,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Harassment,20152523,10/29/2015 - 8:17am,10/29/2015,1000 SOUTH LIMESTONE,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed,,,,,,,,,,,,,,
Theft,20152524,10/29/2015 - 12:01am,10/29/2015,800 ROSE ST,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",No,Closed,,,,,,,,,,,,,
Theft,20152525,10/29/2015 - 8:30pm,10/29/2015,550 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
Assault,20152526,10/29/2015 - 5:15pm,10/29/2015,310 SOUTH LIMESTONE ST,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)/M, ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS/M",No,Cleared By Arrest,,,,,,,,,,,,
Liquor Law Violation,CSA20151105,10/29/2015 - 10:15pm,10/29/2015,344 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151106,10/29/2015 - 10:10am,10/29/2015,361 HUGUELET DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151095,10/28/2015 - 6:49am,10/28/2015,1350 BULL LEA RD,"TERRORISTIC THEATENING, ASSAULT",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151096,10/27/2015 - 9:19pm,10/28/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,2015183446,10/25/2015 - 2:41am,10/28/2015,PINE ST & JERSEY ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Alcohol Intoxication,2015182087,10/23/2015 - 12:19am,10/28/2015,PINE ST & SOUTH LIMESTONE ST,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND DEGREE/M, REPRESENTING AS ONES OWN ANOTHER OPERATOR LICENSE",No,Closed - Lexington Police Report,,,,,,,,,,,,
Theft,20152514,10/27/2015 - 8:30am,10/28/2015,310 SOUTH LIMESTONE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Theft,20152517,10/23/2015 - 3:00pm,10/28/2015,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,CSA20151101,10/28/2015 - 10:36am,10/28/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151102,10/28/2015 - 5:20pm,10/28/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,20152498,10/27/2015 - 12:15am,10/27/2015,310 SOUTH LIMESTONE ST,"ASSAULT, 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY/M",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20152500,10/27/2015 - 5:00am,10/27/2015,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20152508,10/27/2015 - 5:15pm,10/27/2015,1210 UNIVERSITY DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Open,,,,,,,,,,,,
Drug Violations,20152510,10/27/2015 - 10:00pm,10/27/2015,650 WOODLAND AVE,POSS OF MARIJUANA/M,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Criminal Trespass,20152512,10/27/2015 - 10:39pm,10/27/2015,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Sex Offenses,CSA20151097,10/27/2015 - 6:20pm,10/27/2015,1350 BULL LEA RD,SEXUAL ABUSE,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151098,10/27/2015 - 11:27am,10/27/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151099,10/27/2015 - 11:05am,10/27/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151100,10/27/2015 - 1:23pm,10/27/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,20152487,10/21/2015 - 6:00pm,10/26/2015,830 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 3RD/M,No,Open,,,,,,,,,,,,,,
Theft,20152488,02/26/2015 - 12:01am,10/26/2015,310 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CREDIT CARD $500<$10,000/M",No,Closed,,,,,,,,,,,,
Alcohol Intoxication,20152491,10/26/2015 - 3:29pm,10/26/2015,310 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
All Other Offenses,20152492,10/26/2015 - 10:00am,10/26/2015,160 FUNKHOUSER DR,MENACING/M,No,Closed,,,,,,,,,,,,,,
Theft,20152493,10/26/2015 - 3:00pm,10/26/2015,900 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
Drug Violations,20152495,10/26/2015 - 10:00pm,10/26/2015,344 SOUTH MARTIN LUTHER KING BLVD,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Open,,,,,,,,,,,,,
Assault,CSA20151094,10/26/2015 - 1:01pm,10/26/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151093,10/26/2015 - 1:40pm,10/26/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151092,10/26/2015 - 3:09pm,10/26/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151091,10/26/2015 - 8:20pm,10/26/2015,1350 BULL LEA RD,ASSAULT,No,,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151090,10/26/2015 - 11:56pm,10/26/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151086,10/26/2015 - 7:41pm,10/26/2015,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151087,10/26/2015 - 8:38am,10/26/2015,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,20152497,10/26/2015 - 6:10pm,10/26/2015,701 SPORTS CENTER DR,TERRORISTIC THREATENING- 3RD DEGREE/M,Yes,Open,,,,,,,,,,,,,,
Alcohol Intoxication,20152477,10/25/2015 - 2:15am,10/25/2015,SOUTH LIMESTONE ST & SCOTT ST,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND DEGREE/M",No,Cleared By Arrest,,,,,,,,,,,,,
Drug Violations,20152478,10/25/2015 - 2:24am,10/25/2015,763 WOODLAND AVE,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,,,,,,,,,,,,,
Burglary,20152481,10/25/2015 - 12:40pm,10/25/2015,120 PATTERSON DR,BURGLARY 3RD/F,No,Open,,,,,,,,,,,,,,
Assault,CSA20151082,10/25/2015 - 8:56pm,10/25/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151083,10/25/2015 - 7:51am,10/25/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151084,10/25/2015 - 12:33pm,10/25/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151085,10/25/2015 - 5:57pm,10/25/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20152470,10/24/2015 - 2:30am,10/24/2015,462 ROSE LN,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) x2, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M x2",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20152472,10/24/2015 - 1:00am,10/24/2015,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Burglary,20152474,10/23/2015 - 8:00am,10/24/2015,1435 NICHOLASVILLE RD,BURGLARY 3RD/F,Yes,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152475,10/24/2015 - 2:00pm,10/24/2015,310 SOUTH LIMESTONE ST,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M, MENACING/M",No,Cleared By Arrest,,,,,,,,,,,,
Criminal Trespass,20152476,10/24/2015 - 5:00pm,10/24/2015,800 ROSE ST,"MENACING/M, CRIMINAL TRESPASSING/M",No,Cleared By Arrest,,,,,,,,,,,,,
Alcohol Intoxication,201530979,10/24/2015 - 12:20am,10/24/2015,COLUMBIA AVE & PENNSYLVANIA AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Harassment,CSA20151076,10/24/2015 - 1:24am,10/24/2015,1000 SOUTH LIMESTONE,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151080,10/24/2015 - 8:58am,10/24/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151081,10/24/2015 - 7:24pm,10/24/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20152456,10/22/2015 - 7:00pm,10/23/2015,650 WOODLAND AVE,TBUT OR DISP BICYCLES U/$500/M,No,Open,,,,,,,,,,,,,,
